StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,IDB,AgeYears,DOB,Gender,Gender_3_TEXT,Experimenter,Assent,Condition,robot_OE,robot_OE_cat,robot_ability,robot_ability_r,robot_ability_nr,robot_interest,robot_interest_r,robot_interest_nr,robot_structural,robot_structural_r,robot_structural_nr,robot_control,robot_control_r,robot_control_nr,puzzle_OE,puzzle_OE_cat,puzzle_ability,puzzle_ability_r,puzzle_ability_nr,puzzle_interest,puzzle_interest_r,puzzle_interest_nr,puzzle_structural,puzzle_structural_r,puzzle_structural_nr,puzzle_control,puzzle_control_r,puzzle_control_nr,Technical,Technical_specify,Interference,Interference_specify,DNU,DNU_2_TEXT,Notes
08/01/2025 08:30,08/01/2025 08:56,IP Address,204.14.39.108,100,1553,TRUE,08/01/2025 08:56,R_7eyEBTfRUlV63vz,,,,,41.8719,-87.6589,anonymous,EN,IDB15329,6,23/06/2018,Male,,Yihan,Yes,Within,because there is boy scientists in the book,structural,Not Right,,Really not right,Not Right,,Really not right,Right,Really right,,Not right,,Really not right,bc girls are not good at solving puzzles but boys are,intrinsic,Right,Really right,,Right,A little right,,Right,A little right,,Not right,,Really not right,No,,No,,"No, not necessarily",,"the child was endorsing a structural reasoning for the first task when there was a prompt, but had difficult time transforming this reasoning to a new task (so in the puzzle solving he was pretty intrinsic the whole time) "
08/01/2025 15:28,08/01/2025 15:54,IP Address,128.135.204.159,100,1593,TRUE,08/01/2025 15:54,R_3P4z8g7tnbUtC76,,,,,41.7821,-87.6046,anonymous,EN,IDB9839,7,07/08/2017,Male,,Ruochen,Yes,Between,I don't know,other,Right,Really right,,Not Right,,A little not right,Not right,,A little not right,Not right,,Really not right,I don't know,other,Right,A little right,,Right,A little right,,Not right,,Really not right,Not right,,Really not right,No,,Yes,"The participant's sister showed up several times, but it seemed that it didn't affect the participant's response","No, not necessarily",,None
08/01/2025 17:18,08/01/2025 17:54,IP Address,98.46.107.63,100,2152,TRUE,08/01/2025 17:54,R_5BqDqSQDuH6cMSt,,,,,41.8825,-87.7185,anonymous,EN,IDB11181,8,22/02/2016,Male,,Ruochen,Yes,Baseline,Because maybe there is no girls in the class,extrinsic,Not Right,,A little not right,Right,Really right,,Right,A little right,,Not right,,Really not right,Because maybe they didn't like to do it,intrinsic,Not Right,,Really not right,Not Right,,A little not right,Right,Really right,,Not right,,Really not right,No,,Yes,"The child ate snacks while testing, but I don't think it disrupted him a lot","No, not necessarily",,None
11/01/2025 13:31,11/01/2025 14:03,IP Address,38.103.96.226,100,1948,TRUE,11/01/2025 14:03,R_3OIdo4tWTa2jp0B,,,,,41.8874,-87.6318,anonymous,EN,Museum1(1/11),6,14/03/2018,Male,,Liz,Yes,Baseline,i dont know,other,Not Right,,A little not right,Right,A little right,,Right,Really right,,Not right,,A little not right,they couldn't find where the pieces go,intrinsic,Right,Really right,,Not Right,,A little not right,Not right,,A little not right,Not right,,Really not right,No,,Yes,a little at the beginning bc he was tested at the museum but the amount wouldn't impact the result of the study,"No, not necessarily",,none
11/01/2025 14:03,11/01/2025 14:43,IP Address,38.103.96.226,100,2390,TRUE,11/01/2025 14:43,R_1M3xvH4q1XB5XAR,,,,,41.8874,-87.6318,anonymous,EN,Museum2(1/11),8,14/04/2016,Female,,Liz,Yes,Within,because the book was only about the boy scientists,structural,Not Right,,Really not right,Not Right,,A little not right,Right,Really right,,Not right,,Really not right,i dont know,other,Not Right,,Really not right,Not Right,,Really not right,Not right,,Really not right,Not right,,Really not right,No,,No,,"No, not necessarily",,none
11/01/2025 14:45,11/01/2025 15:00,IP Address,38.103.96.226,100,866,TRUE,11/01/2025 15:00,R_5jlh6vsecbRCpGl,,,,,41.8874,-87.6318,anonymous,EN,Museum3(1/11),7,17/11/2017,Male,,Liz,Yes,Within,they made the coolest robots and they kept thinking over and over,intrinsic,Not Right,,Really not right,Right,A little right,,Not right,,Really not right,Not right,,A little not right,they thought it was boring,intrinsic,Not Right,,Really not right,Not Right,,Really not right,Not right,,Really not right,Not right,,Really not right,No,,No,,"No, not necessarily",,no recording - mom didnt want it
13/01/2025 15:50,13/01/2025 17:12,IP Address,65.175.33.104,100,4936,TRUE,13/01/2025 17:12,R_3M5PlpNgAWAF4T9,,,,,41.7821,-87.6046,anonymous,EN,IDB22265,5,21/06/2019,Male,,Liz,Yes,Baseline,because the boys had better robots,intrinsic,Right,Really right,,Not Right,,A little not right,Right,Really right,,Not right,,Really not right,boys are better at puzzle,intrinsic,Right,Really right,,Not Right,,Really not right,Not right,,A little not right,Not right,,Really not right,No,,No,,"No, not necessarily",,none
14/01/2025 15:58,14/01/2025 16:17,IP Address,128.135.204.227,100,1123,TRUE,14/01/2025 16:17,R_6fwZJ2fQFVL859x,,,,,41.7821,-87.6046,anonymous,EN,IDB26893,5,29/07/2019,Male,,Sandy,Yes,Between,"IDK, because they didn't build it that well",intrinsic,Right,Really right,,Right,Really right,,Right,A little right,,Not right,,Really not right,because they didn't solve the most puzzles,intrinsic,Right,A little right,,Right,Really right,,Right,Really right,,Not right,,Really not right,No,,No,,"No, not necessarily",,"child was looking down for a bit, but was still really attentive"
16/01/2025 15:16,16/01/2025 15:59,IP Address,128.135.204.43,100,2609,TRUE,16/01/2025 15:59,R_6P5FDbu6EQH6Xnj,,,,,41.7821,-87.6046,anonymous,EN,IDB13861,8,08/12/2016,Male,,Ruohan,Yes,Between,because they are talking more about scientists who were men instead of women.,structural,Right,Really right,,Not Right,,A little not right,Right,Really right,,Not right,,Really not right,Maybe they did not read much in the textbook. ,intrinsic,Right,A little right,,Not Right,,Really not right,Right,Really right,,Not right,,Really not right,Yes,Participant's audio equipment was inconsistent,No,,"No, not necessarily",,"Sometimes their audio cut off so I could not hear them, but the child was gesturing his answer so I understood him"
16/01/2025 17:03,16/01/2025 17:14,IP Address,67.176.215.41,100,686,TRUE,16/01/2025 17:14,R_7mJLERtp87eiYqg,,,,,41.8018,-87.5993,anonymous,EN,IDB11300,6,09/01/2019,Male,,Ruohan,Yes,Baseline,they weren't smart enough.,intrinsic,Right,A little right,,Right,Really right,,Right,Really right,,Not right,,Really not right,they weren't smart enough to solve all the puzzles. ,intrinsic,Right,Really right,,Right,A little right,,Right,Really right,,Not right,,Really not right,Yes,At first they could not hear me but it was resolved right away,No,,"No, not necessarily",,Nothing abnormal
17/01/2025 13:59,17/01/2025 15:17,IP Address,128.135.204.73,100,4672,TRUE,17/01/2025 15:17,R_6SYcckTuwLYbOdr,,,,,41.7821,-87.6046,anonymous,EN,IDB27436,6,21/06/2018,Female,,Karen,Yes,Within,"because there was a boy textbook, because the book was boys.",structural,Not Right,,A little not right,Not Right,,A little not right,Right,Really right,,Not right,,A little not right,maybe because they got confused. maybe it was too hard for them.,intrinsic,Not Right,,Really not right,Not Right,,Really not right,Right,Really right,,Not right,,A little not right,No,,No,,"No, not necessarily",,"Last question change from ""a little right"" to ""really right"""
18/01/2025 10:33,18/01/2025 10:48,IP Address,38.103.96.226,100,888,TRUE,18/01/2025 10:48,R_5uCLddbV4osCUk0,,,,,41.8835,-87.6305,anonymous,EN,museum12,5,21/07/2019,Female,,Ruochen,Yes,Baseline,Because they lost,intrinsic,Not Right,,A little not right,Right,Really right,,Not right,,Really not right,Not right,,A little not right,Because they didn't like building puzzles,intrinsic,Right,Really right,,Right,Really right,,Not right,,Really not right,Not right,,Really not right,No,,No,,"No, not necessarily",,None
18/01/2025 10:51,18/01/2025 11:22,IP Address,38.103.96.226,100,1846,TRUE,18/01/2025 11:22,R_6rgI3RBPGe88ZFL,,,,,41.8835,-87.6305,anonymous,EN,museum13,5,16/03/2019,Female,,Ruochen,Yes,Between,Because they didn't win,intrinsic,Not Right,,Really not right,Right,Really right,,Not right,,A little not right,Right,Really right,,Because they didn't want to,intrinsic,Right,Really right,,Not Right,,Really not right,Right,Really right,,Right,Really right,,No,,No,,"No, not necessarily",,None
18/01/2025 11:22,18/01/2025 11:36,IP Address,38.103.96.226,100,847,TRUE,18/01/2025 11:36,R_1QFvF2enmmftZMl,,,,,41.8835,-87.6305,anonymous,EN,museum14,8,22/03/2016,Male,,Ruochen,Yes,Within,Because they just learn about the boy scientists,structural,Not Right,,A little not right,Not Right,,Really not right,Right,Really right,,Not right,,Really not right,Because they propbably learn about too many boy scientists,structural,Not Right,,A little not right,Not Right,,A little not right,Right,Really right,,Not right,,Really not right,No,,No,,"No, not necessarily",,None
21/01/2025 10:30,21/01/2025 11:16,IP Address,65.175.33.104,100,2729,TRUE,21/01/2025 11:16,R_6HIziviyl5SYTIs,,,,,41.8018,-87.5993,anonymous,EN,IDB10994,7,29/08/2017,Female,,Liz,Yes,Within,because i think the boys read the whole entire book ,intrinsic,Not Right,,Really not right,Not Right,,Really not right,Right,A little right,,Not right,,Really not right,girls were not good at solving puzzles because the cards are flipped over (when boys are doing it cards were not flipped over),extrinsic,Right,A little right,,Not Right,,Really not right,Not right,,Really not right,Not right,,Really not right,No,,No,,"No, not necessarily",,mom didnt want me to record
21/01/2025 16:50,21/01/2025 17:36,IP Address,73.9.98.182,100,2789,TRUE,21/01/2025 17:36,R_6sNy55whyYYwvV7,,,,,41.7821,-87.6046,anonymous,EN,IDB14977,7,26/03/2017,Male,,Donaji,Yes,Baseline,because they may not be paying attention,intrinsic,Right,A little right,,Right,A little right,,Not right,,A little not right,Not right,,Really not right,maybe because it was a boy scientist that was making the puzzle ,structural,Right,Really right,,Not Right,,A little not right,Right,Really right,,Not right,,Really not right,No,,No,,"No, not necessarily",,none
17/01/2025 15:17,23/01/2025 17:25,IP Address,38.124.35.125,100,526107,TRUE,23/01/2025 17:25,R_6pzQuqEaDpZB70J,,,,,41.7821,-87.6046,anonymous,EN,IDB26658,7,06/03/2017,Female,,Karen,Yes,Between,"because they learned about boy scientists, boys kinda are better engineers than girls",structural + intrinsic,Not Right,,A little not right,Not Right,,A little not right,Right,Really right,,Not right,,Really not right,"Maybe because the girls were slower, maybe the boys just like doing puzzles better.",intrinsic,Not Right,,A little not right,Not Right,,A little not right,Not right,,Really not right,Not right,,Really not right,No,,No,,"No, not necessarily",,None
24/01/2025 14:27,24/01/2025 14:46,IP Address,73.208.6.240,100,1155,TRUE,24/01/2025 14:46,R_1WqK7m4gy7IOhXP,,,,,41.9555,-87.6613,anonymous,EN,IDB11893,8,11/23/2016,Female,,Rongzhi,Yes,Between,"because the boys were listening better than the girls, the girls might be doing something wrong (got the wrong pieces)",intrinsic,Right,Really right,,Right,A little right,,Not right,,A little not right,Not right,,Really not right,"because the girls have never done a puzzle before, and they didn't know how to do it, and they didn't understand the textbook; boys have done puzzles before so they understood.",intrinsic,Right,A little right,,Right,A little right,,Not right,,Really not right,Not right,,Really not right,No,,No,,"No, not necessarily",,none
24/01/2025 17:11,24/01/2025 17:47,IP Address,98.46.106.239,100,2207,TRUE,24/01/2025 17:47,R_6M3ulDFko2vemqC,,,,,41.8883,-87.7613,anonymous,EN,IDB10245,7,9/16/2017,Female,,Ruochen,Yes,Baseline,They just couldn't build it,intrinsic,Not Right,,Really not right,Right,A little right,,Right,A little right,,Not right,,Really not right,Maybe they forgot,intrinsic,Not Right,,A little not right,Right,A little right,,Right,A little right,,Not right,,Really not right,No,,No,,"No, not necessarily",,The kid didn't know how to answer the first open-ended question first so I prompted her to say what she thought
25/01/2025 08:07,25/01/2025 09:30,IP Address,205.208.121.50,100,4969,TRUE,25/01/2025 09:30,R_1YR49hfJiNqNENr,,,,,41.7821,-87.6046,anonymous,EN,IDB11529,5,02/10/2019,Male,,Elizabeth,Yes,Within,they had to keep going and no girls won and the boys keep winning. ,intrinsic,Right,A little right,,Right,Really right,,Right,A little right,,Not right,,Really not right,Because they didn't won. ,intrinsic,Not Right,,Really not right,Right,Really right,,Not right,,Really not right,Not right,,Really not right,No,,No,,Yes (Specify which & why):,The kid was not paying attention and he didn't pay attention when I was debriefing him that he said no when I asked him if it all makes sense. ,None 
27/01/2025 15:54,27/01/2025 16:11,IP Address,128.135.204.230,100,1014,TRUE,27/01/2025 16:11,R_5kFDJEL4mA2loi8,,,,,41.7821,-87.6046,anonymous,EN,IDB10576,7,12/11/2017,Female,,Angie,Yes,Between,boys had more building skills than the girls.,intrinsic,Right,A little right,,Right,A little right,,Not right,,A little not right,Not right,,Really not right,because the boys had more skills in building stuff,intrinsic,Right,Really right,,Not Right,,A little not right,Not right,,Really not right,Not right,,Really not right,No,,No,,"No, not necessarily",,none
28/01/2025 16:49,28/01/2025 17:20,IP Address,205.208.121.72,100,1913,TRUE,28/01/2025 17:20,R_1d9eWZiAyCGbJfP,,,,,41.7821,-87.6046,anonymous,EN,IDB12032,7,12/22/2017,Male,,Donaji,Yes,Within,because they were studying about boy scientists ,structural,Not Right,,Really not right,Not Right,,Really not right,Right,A little right,,Not right,,Really not right,because the girls aren't good at the drawing ,intrinsic,Not Right,,Really not right,Not Right,,Really not right,Right,A little right,,Not right,,Really not right,No,,No,,"No, not necessarily",,none
29/01/2025 09:00,29/01/2025 09:30,IP Address,204.14.39.104,100,1801,TRUE,29/01/2025 09:30,R_5DMmIOkDR31HmW2,,,,,41.8719,-87.6589,anonymous,EN,IDB10510,6,06/22/2018,Female,,Yihan,Yes,Baseline,bc the boys had more strategies ,intrinsic,Right,A little right,,Right,A little right,,Not right,,Really not right,Not right,,Really not right,coz boys have more strategies for solving puzzles and other stuff like machines more than girls,intrinsic,Right,A little right,,Right,Really right,,Not right,,Really not right,Not right,,Really not right,No,,No,,"No, not necessarily",,pretty intrinsic 
29/01/2025 09:43,29/01/2025 10:18,IP Address,204.14.39.111,100,2086,TRUE,29/01/2025 10:18,R_3qUsCIIxKzRwvDj,,,,,41.8719,-87.6589,anonymous,EN,IDB11677,8,06/12/2016,Male,,Yihan,Yes,Between,maybe bc the textbook only had boys and maybe the boys are better at building robots? idk,structural + intrinsic,Not Right,,Really not right,Not Right,,Really not right,Right,A little right,,Not right,,Really not right,"if only boys won the robot building competition already, they know more about interlocking pieces than the girls",intrinsic,Not Right,,Really not right,Not Right,,Really not right,Not right,,Really not right,Not right,,Really not right,No,,No,,"No, not necessarily",,the first block was pretty evenly between intrinsic and extrinsic and the generalization block the kid disagreed with every reasoning....a funny kid tho i laughed so many times bc of his reaction haha
29/01/2025 12:44,29/01/2025 12:54,IP Address,128.135.204.26,100,615,TRUE,29/01/2025 12:54,R_3PqzqzbolJxnGc9,,,,,41.7821,-87.6046,anonymous,EN,IDB11198,6,11/19/2018,Male,,Ruohan,Yes,Between,Maybe because they could not build that good,intrinsic,Not Right,,Really not right,Right,Really right,,Right,Really right,,Not right,,A little not right,they could not find their pieces ,intrinsic,Right,Really right,,Not Right,,Really not right,Right,Really right,,Not right,,A little not right,No,,No,,"No, not necessarily",,None
29/01/2025 15:29,29/01/2025 16:02,IP Address,128.135.204.230,100,1966,TRUE,29/01/2025 16:02,R_1doRMWptKwuyQZM,,,,,41.7821,-87.6046,anonymous,EN,IDB12859,5,11/27/2019,Male,,Angie,Yes,Baseline,skip,,Not Right,,Really not right,Not Right,,Really not right,Right,Really right,,Not right,,Really not right,there was only boys in the textbook,structural,Not Right,,Really not right,Not Right,,Really not right,Not right,,Really not right,Not right,,Really not right,No,,Yes,"mom helped for first question, and he was writing on paper for a lot of it (looking away)","No, not necessarily",,he was distracted
30/01/2025 15:02,30/01/2025 15:14,IP Address,128.135.204.168,100,731,TRUE,30/01/2025 15:14,R_5Xp078UcbMXsdcA,,,,,41.7821,-87.6046,anonymous,EN,IDB10829,6,11/15/2018,Female,,Sandy,Yes,Between,Because they go faster and more speedy,intrinsic,Not Right,,Really not right,Right,Really right,,Not right,,Really not right,Not right,,A little not right,because they went so slow,intrinsic,Not Right,,Really not right,Right,Really right,,Not right,,A little not right,Not right,,Really not right,No,,No,,"No, not necessarily",,None
31/01/2025 15:59,31/01/2025 16:46,IP Address,128.135.204.227,100,2818,TRUE,31/01/2025 16:46,R_7MCReUJsMkt96Tv,,,,,41.7821,-87.6046,anonymous,EN,IDB14222,5,05/02/2019,Male,,Yixin,Yes,Within,because they were boy scientists,structural,Not Right,,Really not right,Not Right,,Really not right,Right,A little right,,Not right,,Really not right,maybe girls don't like to play puzzles,intrinsic,Not Right,,Really not right,Right,A little right,,Not right,,Really not right,Not right,,Really not right,No,,No,,"No, not necessarily",,none
31/01/2025 16:53,31/01/2025 17:20,IP Address,128.135.204.227,100,1632,TRUE,31/01/2025 17:20,R_7kClfd1XnIOWS2O,,,,,41.7821,-87.6046,anonymous,EN,IDB16524,7,09/25/2017,Male,,Yixin,Yes,Baseline,because the boys they do the same things for every single one ,intrinsic,Right,A little right,,Right,A little right,,Right,A little right,,Not right,,Really not right,because they are not that good at it. ,intrinsic,Right,A little right,,Right,A little right,,Right,A little right,,Not right,,Really not right,No,,No,,"No, not necessarily",,"In the video 10:18, this kid changes this answer saying that what Kippy said is really right"
01/02/2025 13:54,01/02/2025 14:13,IP Address,128.135.204.230,100,1123,TRUE,01/02/2025 14:13,R_5iK8CINar9vBa49,,,,,41.7821,-87.6046,anonymous,EN,IDB17354,7,8/29/2017,Female,,Sergio,Yes,Within,Because there were only scientists in the book,structural,Not Right,,A little not right,Not Right,,A little not right,Not right,,Really not right,Not right,,Really not right,Because they weren't really good at it,intrinsic,Right,Really right,,Right,A little right,,Not right,,A little not right,Not right,,Really not right,Yes,I forgot to share the sound on the first video. I fixed it and had no technical difficulties after that.,No,,"No, not necessarily",,The child seemed a bit uninterested but overall it went fine
04/02/2025 13:51,04/02/2025 14:11,IP Address,73.208.6.240,100,1194,TRUE,04/02/2025 14:11,R_3LjVKVJ5lHHy5om,,,,,41.9555,-87.6613,anonymous,EN,IDB13718,8,8/24/2016,Male,,Rongzhi,Yes,Within,"it's because the boys didn't understand at first, because girls normally focus more, later boys learn from their mistakes and win",intrinsic,Right,Really right,,Right,Really right,,Right,Really right,,Not right,,Really not right,"because the girls just never tried doing puzzle, instead they were looking forward to win the robot building competition instead",intrinsic,Right,Really right,,Not Right,,A little not right,Right,A little right,,Not right,,Really not right,No,,No,,"No, not necessarily",,none
04/02/2025 15:48,04/02/2025 16:24,IP Address,73.208.6.240,100,2154,TRUE,04/02/2025 16:24,R_71ftQfzPp6auHhn,,,,,41.9555,-87.6613,anonymous,EN,IDB26562,5,4/21/2019,Female,,Rongzhi,Yes,Within,because the book they read were only about boys scientists not girls scientists,structural,Not Right,,Really not right,Not Right,,Really not right,Right,Really right,,Not right,,A little not right,because they learned a book about only boys and the boys in the book were very good at puzzle solving,structural,Not Right,,Really not right,Not Right,,Really not right,Right,Really right,,Not right,,Really not right,No,,No,,"No, not necessarily",,none
06/02/2025 14:59,06/02/2025 15:22,IP Address,128.135.204.60,100,1378,TRUE,06/02/2025 15:22,R_7FM1iYabx6xDXpM,,,,,41.7821,-87.6046,anonymous,EN,IDB18901,7,05/20/2017,Female,,Sandy,Yes,Between,They went to school,other,Right,Really right,,Right,Really right,,Not right,,A little not right,Right,Really right,,They went to get the prize,intrinsic,Not Right,,A little not right,Not Right,,A little not right,Not right,,A little not right,Not right,,A little not right,No,,No,,"No, not necessarily",,"child was sick, parent said she was not paying attention very well/was not understanding very well because she was tired"
07/02/2025 14:28,07/02/2025 14:44,IP Address,73.208.6.240,100,914,TRUE,07/02/2025 14:44,R_3IGTnTWh1Fw544h,,,,,41.9555,-87.6613,anonymous,EN,IDB31636,7,12/10/2017,Female,,Rongzhi,Yes,Within,"it seems like when they had two girls in the work book, only girls went, and when they learrned about boys in the work book, only boys went",structural,Not Right,,A little not right,Not Right,,A little not right,Right,Really right,,Not right,,Really not right,maybe the girls don't really think about what they are doing when they are solving puzzles,intrinsic,Not Right,,A little not right,Not Right,,A little not right,Right,A little right,,Not right,,Really not right,No,,No,,"No, not necessarily",,none
07/02/2025 14:28,07/02/2025 15:05,IP Address,73.208.6.240,100,2201,TRUE,07/02/2025 15:05,R_7CT8Ge4VFD3uaFe,,,,,41.9555,-87.6613,anonymous,EN,IDB31635,8,11/29/2016,Female,,Rongzhi,Yes,Baseline,"because the girls are, they need longer time maybe",intrinsic,Not Right,,A little not right,Right,A little right,,Right,Really right,,Not right,,Really not right,because they wanted to work slower and make more and boys did it very fast,intrinsic,Right,Really right,,Right,A little right,,Right,Really right,,Not right,,Really not right,No,,No,,"No, not necessarily",,none
10/02/2025 11:02,10/02/2025 11:34,IP Address,73.9.98.182,100,1973,TRUE,10/02/2025 11:34,R_1Yh6rauhTS3GXsM,,,,,41.8018,-87.5993,anonymous,EN,IDB13642,5,03/06/2019,Female,,Donaji,Yes,Baseline,because they didn't want to win that game ,intrinsic,Right,A little right,,Not Right,,Really not right,Right,A little right,,Not right,,Really not right,"because the puzzle's were to hard, maybe ",intrinsic,Right,Really right,,Not Right,,A little not right,Not right,,Really not right,Not right,,Really not right,No,,No,,"No, not necessarily",,none
12/02/2025 12:24,12/02/2025 12:51,IP Address,73.208.6.240,100,1615,TRUE,12/02/2025 12:51,R_8eunT8DZrVLqYut,,,,,41.9555,-87.6613,anonymous,EN,IDB21831,5,10/03/2019,Female,,Rongzhi,Yes,Within,"cuz there were too much girls before, so then they put more boys to make it even ",extrinsic,Right,Really right,,Not Right,,A little not right,Not right,,A little not right,Not right,,Really not right,the girls just didn't like building puzzles,intrinsic,Not Right,,A little not right,Not Right,,A little not right,Right,Really right,,Not right,,Really not right,No,,No,,"No, not necessarily",,none
12/02/2025 17:25,12/02/2025 17:50,IP Address,128.135.204.31,100,1460,TRUE,12/02/2025 17:50,R_5wVCHE7QKcdGeEF,,,,,41.7821,-87.6046,anonymous,EN,IDB16429,5,3/17/2019,Female,,Xander,Yes,Within,the robots were boys,structural,Not Right,,A little not right,Right,Really right,,Right,Really right,,Not right,,Really not right,they don't like doing it,intrinsic,Not Right,,A little not right,Not Right,,Really not right,Right,Really right,,Not right,,Really not right,Yes,"For the first text question, the one where I put ""the boys were robots"", I couldn't hear what Kaira was actually saying and asked her to repeat a few times but was never able to decipher it",Yes,"I think at a certain point, Amanda(the parent) made a donation with someone on the other side of the car? It didn't actually interfere with the kid but it was a thing that happened",Yes (Specify which & why):,"my ""the boys were robots"" written response was almost certainly wrong. The rest of it should be fine","The child was in a car with a bunch of other kids, but from what I could see none of them made any noise during the study"
